user_a,user_b,log_retweet
billg,maricopacounty,0.6931471805599453
maricopacounty,DVUSD,0.6931471805599453
maricopacounty,ValledelSolAZ,0.6931471805599453
maricopacounty,Maricopahealth,0.6931471805599453
billg,DVUSD,0.6931471805599453
DVUSD,ValledelSolAZ,0.6931471805599453
DVUSD,Maricopahealth,0.6931471805599453
billg,ValledelSolAZ,0.6931471805599453
ValledelSolAZ,Maricopahealth,0.6931471805599453
billg,Maricopahealth,0.6931471805599453
billg,AZCardinals,0.0
AZCardinals,Seahawks,0.0
AZCardinals,SNFonNBC,0.0
billg,Seahawks,0.0
Seahawks,SNFonNBC,0.0
billg,SNFonNBC,0.0
billg,maricopacounty,1.0986122886681098
billg,DVUSD,1.0986122886681098
DVUSD,maricopacounty,1.0986122886681098
billg,maricopacounty,1.0986122886681098
billg,maricopacounty,0.0
maricopacounty,MCanimalcare,0.0
maricopacounty,phoenixraceway,0.0
maricopacounty,NASCAR,0.0
billg,MCanimalcare,0.0
MCanimalcare,phoenixraceway,0.0
MCanimalcare,NASCAR,0.0
billg,phoenixraceway,0.0
phoenixraceway,NASCAR,0.0
billg,NASCAR,0.0
billg,CordermanJill,1.0986122886681098
CordermanJill,19NORTH_Phx,1.0986122886681098
CordermanJill,North32nd,1.0986122886681098
billg,19NORTH_Phx,1.0986122886681098
19NORTH_Phx,North32nd,1.0986122886681098
billg,North32nd,1.0986122886681098
billg,NWSPhoenix,1.0986122886681098
billg,abc15,3.6375861597263857
billg,Maricopahealth,0.0
billg,NWSPhoenix,4.406719247264253
billg,maricopacounty,2.1972245773362196
billg,FannKfann,0.0
FannKfann,maricopacounty,0.0
billg,maricopacounty,0.0
billg,gregmontes,0.6931471805599453
billg,andybiggs4az,1.3862943611198906
billg,DrPaulGosar,2.3978952727983707
billg,medarizona,0.0
medarizona,USArmy,0.0
billg,USArmy,0.0
billg,MadisonAZ,1.791759469228055
billg,Sierra4AZ,0.6931471805599453
Sierra4AZ,JoeBiden,0.6931471805599453
Sierra4AZ,CaptMarkKelly,0.6931471805599453
Sierra4AZ,SenContreras,0.6931471805599453
