tweet_id,tweet_text,date,user_id,user_mentions,retweet_count
1326171590804049925,Happy birthday @AllisterAdel and congratulations on your victory in the election for Maricopa County Attorney - look forward to seeing you back in the office (or on @gotowebinar) soon. https://t.co/06uDTz5aw0,11/10/2020,56179256,"[{'screen_name': 'AllisterAdel', 'name': 'Allister Adel', 'id': 502096255, 'id_str': '502096255', 'indices': [15, 28]}, {'screen_name': 'gotowebinar', 'name': 'GoToWebinar', 'id': 42126151, 'id_str': '42126151', 'indices': [165, 177]}]",4
1325827700842360832,Congrats Kevin Sutherland on his win @SchwabCupFinale @PingTour #playyourbest https://t.co/fTzywIfKbE,11/09/2020,56179256,"[{'screen_name': 'SchwabCupFinale', 'name': 'Charles Schwab Cup Championship', 'id': 1330543374, 'id_str': '1330543374', 'indices': [37, 53]}, {'screen_name': 'PingTour', 'name': 'PING GOLF', 'id': 51079493, 'id_str': '51079493', 'indices': [54, 63]}]",0
1325798537175597057,Wishing @pingtour pro Kevin Sutherland good luck this am as @SchwabCupFinale playoff goes to Monday finish https://t.co/0kCbEoRrSJ via @azcentral,11/09/2020,56179256,"[{'screen_name': 'PingTour', 'name': 'PING GOLF', 'id': 51079493, 'id_str': '51079493', 'indices': [8, 17]}, {'screen_name': 'SchwabCupFinale', 'name': 'Charles Schwab Cup Championship', 'id': 1330543374, 'id_str': '1330543374', 'indices': [61, 77]}, {'screen_name': 'azcentral', 'name': 'azcentral', 'id': 13115682, 'id_str': '13115682', 'indices': [137, 147]}]",1
1325498730737397760,A big day in @maricopacounty! https://t.co/uQTyhJYOWV,11/08/2020,56179256,"[{'screen_name': 'maricopacounty', 'name': 'Maricopa County', 'id': 119502308, 'id_str': '119502308', 'indices': [13, 28]}]",0
1324848831872204802,Continue to send thoughts and prayers to my colleague and friend @AllisterAdel and her wonderful family. https://t.co/QXxlTjHnED,11/06/2020,56179256,"[{'screen_name': 'AllisterAdel', 'name': 'Allister Adel', 'id': 502096255, 'id_str': '502096255', 'indices': [65, 78]}]",2
1324803749320122369,Get well soon @joaconiemann - I am confident that you will play in many @TheMasters championships in the future! https://t.co/uuibKa6Fyp,11/06/2020,56179256,"[{'screen_name': 'joaconiemann', 'name': 'joaconiemann', 'id': 591380621, 'id_str': '591380621', 'indices': [14, 27]}, {'screen_name': 'TheMasters', 'name': 'The Masters', 'id': 23505298, 'id_str': '23505298', 'indices': [72, 83]}]",0
1324448608708558848,#2020 https://t.co/nSATRyMbiJ,11/05/2020,56179256,[],1
1324447304275820546,"RT @PingTour: It all started with a B60 putter and an 8-year-old @bubbawatson. Now, he has 12 @PGATOUR titles including two #Masters wins.",11/05/2020,56179256,"[{'screen_name': 'PingTour', 'name': 'PING GOLF', 'id': 51079493, 'id_str': '51079493', 'indices': [3, 12]}, {'screen_name': 'bubbawatson', 'name': 'bubba watson', 'id': 74791999, 'id_str': '74791999', 'indices': [65, 77]}, {'screen_name': 'PGATOUR', 'name': 'PGA TOUR', 'id': 14063426, 'id_str': '14063426', 'indices': [94, 102]}]",27
1324382682063646720,Stay hydrated! https://t.co/7FSPM5Dsi6,11/05/2020,56179256,[],1
1323814741148459009,Thank you @MaricopaVote - great job today and throughout this election season! https://t.co/cp2OJaV9sv,11/04/2020,56179256,"[{'screen_name': 'MaricopaVote', 'name': 'Maricopa County Elections Department', 'id': 1197230562332700672, 'id_str': '1197230562332700672', 'indices': [10, 23]}]",1
1323791206317387776,At Bell Canyons polling site at I-17 &amp; Bell.  Wait times at nearby polling places listed on whiteboard.  Just an hour to get in line to vote. @MaricopaVote https://t.co/tfyTfDXKyB,11/04/2020,56179256,"[{'screen_name': 'MaricopaVote', 'name': 'Maricopa County Elections Department', 'id': 1197230562332700672, 'id_str': '1197230562332700672', 'indices': [146, 159]}]",1
1323771318349701120,Still havent dropped your early ballot yet and worried you wont get it in before 7:00 pm?  Swing by @turf_paradise where they have partnered with @MaricopaVote to establish drive-thru ballot drop boxes. https://t.co/sRgo7mZ38p,11/03/2020,56179256,"[{'screen_name': 'turf_paradise', 'name': 'Turf Paradise', 'id': 213399409, 'id_str': '213399409', 'indices': [102, 116]}, {'screen_name': 'MaricopaVote', 'name': 'Maricopa County Elections Department', 'id': 1197230562332700672, 'id_str': '1197230562332700672', 'indices': [148, 161]}]",0
1323758393794834433,"Thanks, Brahm, I agree. @maricopavote is doing a great job. https://t.co/HlTTold1VY",11/03/2020,56179256,"[{'screen_name': 'MaricopaVote', 'name': 'Maricopa County Elections Department', 'id': 1197230562332700672, 'id_str': '1197230562332700672', 'indices': [24, 37]}]",1
